,Latitude_3,Longitude_3,Voltage_of_line_in_which__fire_,Location_multiplier,Danger_multiplier,Product_of_multipliers,COVER,HEIGHT,FOREST,Elevation,Monthly Avg Rainfall,Monthly Mean Max Temperature,Monthly Mean Solar Exposure,Is_Fire,day,month,year
1,-38.754127,143.667405,22kV AC,0.2,0.5,0.1,6,6,0,7.690627098,129.4,26.9,21.8,1,24,01,2020
3,-38.66914062,145.61589,Low voltage AC (<1kV),0.2,1.0,0.2,6,6,0,25.97776413,1.2,27,20.8,1,20,02,2018
4,-38.703816,145.81919,Low voltage AC (<1kV),4.6,0.5,2.3,6,6,0,9.772949219,1.2,27,20.8,1,23,02,2018
5,-38.69985998,146.04701,22kV AC,1.0,0.5,0.5,6,6,0,84.49146271,20.3,26,21.4,1,1,02,2019
6,-38.83021798,146.131519,Low voltage AC (<1kV),1.0,0.2,0.2,6,6,0,9.999527931,129.4,26.9,21.8,1,27,01,2020
7,-38.69908098,146.10889,22kV AC,1.0,0.1,0.1,6,6,0,96.63624573,30.8,14.9,7.6,1,28,06,2020
8,-38.83242899,146.132582,Low voltage AC (<1kV),1.0,1.0,1.0,6,6,0,9.870897293,20.3,26,21.4,1,9,02,2019
9,-38.79874735,146.2204817,22kV AC,1.0,0.5,0.5,6,6,0,20.96995354,14.6,24.8,15.9,1,10,03,2019
10,-38.649047,146.219527,22kV AC,1.0,0.2,0.2,6,6,0,28.63091278,1.2,27,20.8,1,12,02,2018
11,-38.65242601,146.325796,Low voltage AC (<1kV),1.0,0.5,0.5,5,5,1,59.33969879,33.2,26.5,23.4,1,16,01,2017
12,-38.67224601,146.692631,22kV AC,0.2,0.1,0.02,6,6,0,0.176311001,52.8,15,7.7,1,6,07,2019
14,-38.532611,142.774687,Low voltage AC (<1kV),1.0,0.5,0.5,6,6,0,57.2183342,47,25.9,20.5,1,11,02,2017
15,-38.602023,143.000879,Low voltage AC (<1kV),4.6,0.1,0.46,6,6,0,22.93631935,64.3,14.5,10,1,8,08,2019
16,-38.57136,142.902977,Low voltage AC (<1kV),4.6,0.2,0.92,6,6,0,36.49097443,129.4,26.9,21.8,1,25,01,2020
20,-38.496673,143.240377,Low voltage AC (<1kV),4.6,0.2,0.92,6,6,0,152.4828339,60.8,21.8,20.4,1,13,11,2019
21,-38.55485,143.214877,Low voltage AC (<1kV),1.0,0.1,0.1,6,6,0,98.31085205,30.8,14.9,7.6,1,26,06,2020
22,-38.58460607,143.1667471,Low voltage AC (<1kV),1.0,0.1,0.1,6,6,0,139.5601196,21.4,14.9,7.2,1,2,06,2017
23,-38.468464,143.3075,22kV AC,4.6,1.0,4.6,6,6,0,157.6572418,129.4,26.9,21.8,1,9,01,2020
24,-38.546567,143.50573,22kV AC,19.8,0.2,3.96,1,2,1,183.4725647,36.4,20.8,19.5,1,24,11,2016
25,-38.548916,143.979699,Low voltage AC (<1kV),4.6,0.1,0.46,6,6,0,102.6755829,51.4,17.8,14.5,1,13,09,2019
26,-38.53781,143.975188,Low voltage AC (<1kV),0.2,0.2,0.04,6,6,0,10.5565834,27.7,21.3,18.8,1,4,10,2019
27,-38.538977,143.97409,22kV AC,0.2,0.2,0.04,6,6,0,20.15497589,142.7,20.8,10.8,1,10,04,2017
28,-38.465872,144.065173,22kV AC,4.6,0.2,0.92,6,6,0,14.16229343,78.2,22.9,14.4,1,15,03,2020
29,-38.47237664,144.8947479,22kV AC,1.0,0.1,0.1,2,2,1,125.5344238,82.8,16.4,8.3,1,13,05,2020
30,-38.48418314,145.0304425,22kV AC,1.0,0.2,0.2,6,6,0,34.75336838,75.8,24.4,17.9,1,20,02,2020
