ID,date,day,month,year,company,firedist,latitude,longitute,fireseason,peak1,peak2,hbra,tfb,ranking,ranking_P2,ranking_P3,danger_rating,ground_fire,Year,F,G,T,Calc,Code Calc,Geog_Recode,G.Recode.,Calc.Recode.,Geog Classify.Final
1,01.01.12,1,1,2012,AusNet,NORTH EAST,-36.44927,146.4321,YES,PEAK,PEAK,LBRA,0,REFCL,REFCL,REFCL,High,NO,2012,1,4.6,0.5,2.3,E. 1 to 2.99,LBRA,0.2,0.1,REFCL
2,01.01.12,1,1,2012,AusNet,EAST GIPPSLAND,-37.56,149.75408,YES,PEAK,PEAK,LBRA,0,HBRA,HBRA,HBRA,High,NO,2012,1,1,0.5,0.5,F. 0.3 to 0.99,LBRA,0.2,0.1,HBRA
3,01.01.12,1,1,2012,Powercor,NORTHERN COUNTRY,-36.24265983,145.2232011,YES,PEAK,PEAK,LBRA,0,LBRA,LBRA,LBRA,High,YES,2012,1,0.2,0.5,0.1,G. 0.1 to 0.29,LBRA,0.2,0.1,LBRA
4,02.01.12,2,1,2012,Jemena,CENTRAL,-37.57916,144.72809,YES,PEAK,PEAK,LBRA,1,LBRA,LBRA,LBRA,Severe,NO,2012,1,0.2,2,0.4,F. 0.3 to 0.99,LBRA,0.2,0.4,LBRA
5,02.01.12,2,1,2012,United,CENTRAL,-38.05155,145.11651,YES,PEAK,PEAK,LBRA,1,LBRA,LBRA,LBRA,Severe,YES,2012,1,0.2,2,0.4,F. 0.3 to 0.99,LBRA,0.2,0.4,LBRA
6,02.01.12,2,1,2012,Powercor,SOUTH WEST,-37.48881767,142.8497065,YES,PEAK,PEAK,HBRA,1,HBRA,HBRA,REFCL,Extreme,YES,2012,1,4.6,3.5,16.1,B. 10 to 20,REFCL,4.6,16.1,REFCL
7,02.01.12,2,1,2012,Powercor,SOUTH WEST,-37.48881767,142.8497065,YES,PEAK,PEAK,HBRA,1,HBRA,HBRA,REFCL,Extreme,YES,2012,1,4.6,3.5,16.1,B. 10 to 20,REFCL,4.6,16.1,REFCL
8,02.01.12,2,1,2012,Powercor,SOUTH WEST,-38.24007101,142.9078488,YES,PEAK,PEAK,LBRA,1,LBRA,LBRA,REFCL,Extreme,YES,2012,1,4.6,3.5,16.1,B. 10 to 20,LBRA,0.2,0.7,LBRA
9,02.01.12,2,1,2012,Powercor,CENTRAL,-38.46602587,144.0812653,YES,PEAK,PEAK,HBRA,1,PRF,PRF,PRF,Severe,YES,2012,1,19.8,2,39.6,A. Over 20,PRF,19.8,39.6,PRF
10,03.01.12,3,1,2012,Powercor,SOUTH WEST,-38.29769384,142.4208096,YES,PEAK,PEAK,HBRA,0,HBRA,HBRA,REFCL,Very High,YES,2012,1,4.6,1,4.6,D. 3 to 4.99,REFCL,4.6,4.6,REFCL
11,03.01.12,3,1,2012,Powercor,CENTRAL,-37.73579025,144.7960808,YES,PEAK,PEAK,LBRA,0,LBRA,LBRA,LBRA,Very High,YES,2012,1,0.2,1,0.2,G. 0.1 to 0.29,LBRA,0.2,0.2,LBRA
12,04.01.12,4,1,2012,United,CENTRAL,-38.37089,144.82484,YES,PEAK,PEAK,LBRA,0,LBRA,LBRA,LBRA,High,YES,2012,1,0.2,0.5,0.1,G. 0.1 to 0.29,LBRA,0.2,0.1,LBRA
13,04.01.12,4,1,2012,United,CENTRAL,-38.00641,145.08748,YES,PEAK,PEAK,LBRA,0,LBRA,LBRA,LBRA,High,YES,2012,1,0.2,0.5,0.1,G. 0.1 to 0.29,LBRA,0.2,0.1,LBRA
14,04.01.12,4,1,2012,United,CENTRAL,-37.85474,145.14562,YES,PEAK,PEAK,LBRA,0,LBRA,LBRA,LBRA,High,YES,2012,1,0.2,0.5,0.1,G. 0.1 to 0.29,LBRA,0.2,0.1,LBRA
15,05.01.12,5,1,2012,Powercor,NORTHERN COUNTRY,-36.77785398,144.4057294,YES,PEAK,PEAK,HBRA,0,REFCL,REFCL,REFCL,High,YES,2012,1,4.6,0.5,2.3,E. 1 to 2.99,REFCL,4.6,2.3,REFCL
