,OBJECTID1,File_tag,Provider,DateOnly,Date,Date_1,Time_2,Latitude_3,Longitude_3,Address_of_incident_4,ID_of__nearest__asset_5,ID_of_nearest__polyphase__line_,Voltage_of_line_in_which__fire_,Network_categorisation_8,Type_of_primary_asset__involved,Phase_s__of__line_or__transform,Kind_of_fire_start_as_per_Claus,Location__area_12,Location_multiplier,Fire__danger__rating_13,Danger_multiplier,Product_of_multipliers,DNSP_record_number_14,OSIRIS___ESV__reference__number,Fault__description_16,Overhead_conductors,BUFF_DIST,FOR_CODE,FOR_TYPE,FOR_CAT,COVER,HEIGHT,FOREST,Elevation,STATION_ID,CODE,NAME,WeatherStation,Monthly Avg Rainfall,Monthly Mean Max Temperature,Monthly Mean Solar Exposure,Is_Fire
191,192,United 17/110,United,14/04/2018,4/14/18 0:00,43204.0,0.433842593,-38.3740642,145.1253735,3045 FRANKSTON-FLINDERS ROAD BALNARRING,1105857.0,MTN32,22kV AC,Rural Short, - overhead conductor (bare; all aluminium conductor),three phase,"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",LBRA only,0.2,Very high,1.0,0.2,5556.0,20180608UTD_02,"Reported as tree on fire by CFA,  Tree removed from the overhead. Tree out side 3045 Frankston Flind Rd Balnarring",,7.62,0,Non forest,Non forest,6,6,0,26.99831009,94898,CERB,CERBERUS AWS,,19,21.8,10.9,0
897,898,United 16/45,United,7/11/2016,11/7/16 0:00,42681.0,0.937893519,-37.89541982,145.0582947,,2321820.0,OR 25,Low voltage AC (<1kV),Urban, - connection box,single phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,5079.0,20161116UTD_02,Fuse base for unit 1 had melted/on fire when crews arrived - fire report created by crew - replaced 2 x 100a fuse bases at meterpanle for unit 1 and 2 - tested ande cofiremd supply restored to both units. LIS 2321820,,7.62,0,Non forest,Non forest,6,6,0,42.02970123,94870,YMMB,MOORABBIN AWS,,36.4,20.8,19.5,0
1367,1368,Ausnet 18/113,Ausnet,12/02/2019,2/12/19 18:27,43508.76875,43508.76875,-36.87490701,145.613563,"1589 EUROA-MANSFIELD ROAD, GOORAM VIC 3666",3904896.0,BN1,22kV AC,RURAL LONG, - fuse (boric acid),single phase,Otherwise started by a distribution system,within area delineated on plan LEGL./16-354,4.6,VERY HIGH,1.0,4.6,,20190213SPN_01,Candling HV fuse,,7.62,0,Non forest,Non forest,6,6,0,229.6699066,95843,YSBG,STRATHBOGIE,,20.3,26,21.4,0
1484,1485,PowerCor 19/267,PowerCor,15/03/2020,3/15/20 0:00,43905.0,0.813194444,-36.343159,145.132342,"1636 LILFORD ROAD, LANCASTER VIC 3620",32189439.0,KYM003,22kV AC,Rural Long, - fuse (EDO fuse),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,,20200520PWA_09 ,Crew attending a report of part supply found arcing EDO fuse.,,7.62,0,Non forest,Non forest,6,6,0,104.0772018,95833,KYAB,KYABRAM,,78.2,22.9,14.4,0
208,209,United 17/127,United,16/06/2018,6/16/18 0:00,43267.0,0.272280093,-38.35817488,145.1624864,1 WELLINGTON ROAD BITTERN,1107245.0,HGS23,22kV AC,Rural Short, - fuse (EDO fuse),three phase,Started in or originated from a distribution system,HBRA only,1.0,No forecast,0.1,0.1,5566.0,20180619UTD_01,"LIS#1107245   Single phase sub , footpath fuse candling. replace 6 amp edo",,7.62,0,Non forest,Non forest,6,6,0,14.46287823,94898,CERB,CERBERUS AWS,,47.2,14.3,7.2,0
1321,1322,Ausnet 16/106,Ausnet ,3/03/2017,3/3/17 22:37,42797.94288,42797.94288,-37.22170579,145.6514454,,4712442.0,RUBA12,12.7kV AC (SWER),RURAL LONG, - overhead conductor (bare; steel),single wire earth return (SWER),"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",within area delineated on plan LEGL./16-354,4.6,High,0.5,2.3,226756.0,20170306SPN_02,Strong windy conditions caused a large tree branch to fall into a SWER line bringing the conductor to the ground starting a medium size grass fire. The tree branch showed signs of rot and the tree was outside the vegetation clearance space.,,7.62,0,Non forest,Non forest,6,6,0,195.1329956,94881,EILD,HAINES SADDLE,,29.2,26.9,16.8,0
692,693,PowerCor 19/104,PowerCor,20/12/2019,12/20/19 0:00,43819.0,0.675694444,-37.774106,143.061664,"565 Trawalla East Rd, Nerrin Nerrin 3351",32057787.0,CDN006,12.7kV AC (SWER),Rural Long, - overhead conductor (bare; steel),single wire earth return (SWER),"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",within area delineated on plan LEGL./16-354,4.6,Extreme,3.5,16.1,,20191223PWA_01 ,"SWER ACR Trawalla P10A tripped to Lock out at 16:13hrs. Shortly afterwards a report of a ""fire in the area - pole fire"" was recieved. Crews patrolled the line and found an extinguished paddock fire at the incident address together with 3 bays of SWER cond",,7.62,0,Non forest,Non forest,6,6,0,228.0944061,94840,MORT,MORTLAKE AWS,,4.4,24.6,24.7,0
469,470,PowerCor 19/29,PowerCor,31/07/2019,7/31/19 0:00,43677.0,0.75,-37.96884399,144.6851144,Opposite 668 Diggers Rd Werribee South 3030 (Melways 199 Ref E9),32171115.0,WBE034,Low voltage AC (<1kV),Rural Short, - connection box,three phase,Started in or originated from a distribution system,LBRA only,0.2,No forecast,0.1,0.02,,20190801PWA_03,"MFB and local resident reported pole fire in Diggers Rd. that had now extinguished. Attending Powercor fault crew noted a burnt FOLCB. There were no shocks, injuries or ground fire.",,7.62,0,Non forest,Non forest,6,6,0,6.016610146,94865,YLVT,LAVERTON AWS,,52.8,15,7.7,0
1247,1248,Ausnet 17/132,Ausnet,17/03/2018,3/17/18 18:39,43176.77708,43176.77708,-37.65651599,145.517115,"15 VIEW STREET, HEALESVILLE VIC 3777",1403271.0,WYK24,Low voltage AC (<1kV),RURAL SHORT, - connector / termination,three phase,Otherwise started by a distribution system,LBRA only,0.2,SEVERE,2.0,0.4,232876.0,20180319SPN_01,Burnt off LV bushing on transformer - faulty connection.,,7.62,0,Non forest,Non forest,6,6,0,112.9829254,94864,YCEM,COLDSTREAM AWS,,24.6,24.9,16.6,0
509,510,United 18/99,United,12/03/2019,3/12/19 0:00,43536.0,0.482523148,-37.9884727,145.1024955,"17 SIBTHORPE STREET, MORDIALLOC VIC 3195",9116184.0,MC 09,22kV AC,Urban, - crossarm (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,1273955.0,20190328UTD_01,"X arm fire failed, light rain rotten, AP issued and repairs complteted. LIS = 9116184",,7.62,0,Non forest,Non forest,6,6,0,7.929491997,94870,YMMB,MOORABBIN AWS,,14.6,24.8,15.9,0
